Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,768.7999906,757.2259706,762.3768343,729.0950138,756.5869605,752.8997583,733.8133989,733.143646,736.5033302,754.3497353,762.8838243,779.7667866,792.9638513,822.0970501,867.68359,910.3645074,974.5642374,1060.81494,1234.013356,1279.251948,1358.4605,1472.014205,1586.780133,1682.948665,1812.425386,1945.124293,
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,2344.944482,2546.783117,2701.671775,2814.669174,3018.820535,3139.22453,3323.369472,3473.648616,3676.51669,3830.230047,4819.900039,4925.629779,4837.632019,4997.162668,5329.13589,5250.352561,5522.285618,5952.056669,6464.217282,6888.856023,6938.952146,7016.447822,6778.344041,7061.27558,7301.235865,7116.386392,
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,26891.44164,27011.38589,29569.65453,27597.97148,29995.56522,35351.38071,35650.72434,32835.92877,33368.15485,33440.80162,30743.55917,30751.64946,33228.69291,40458.77064,46511.60457,48799.82037,52026.99311,58487.04501,64322.06664,58163.29359,58041.15322,61753.79275,58507.50021,61191.19263,62425.5392,53014.64416,
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,984.6914396,1327.450694,1510.022075,1704.850697,1871.667431,2072.68444,2258.258259,2400.187665,2551.900557,2575.563881,2802.419715,2862.154507,3008.464737,2372.629091,2421.096328,3681.060301,3836.470818,4647.318672,5011.053017,4952.688151,5451.068061,5759.038454,5968.826218,6026.989889,6268.632483,6468.473492,
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2394.420657,1721.582067,1766.065919,1797.541804,1499.984092,1444.907936,1596.006859,1611.961948,1588.421338,1580.956363,1757.01791,1732.958526,1774.292039,2094.893308,2600.006515,3102.037363,3467.544739,3939.55992,4912.251933,3875.822095,4473.486441,5447.403991,5583.616152,5492.115804,5496.000209,4154.119692,
East Asia and Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,413.4578905,442.0355183,488.5388079,529.327777,628.5786323,766.1703444,869.3751522,889.8187774,806.3054868,877.5181781,957.6500182,1009.297198,1107.091904,1242.345068,1428.848817,1639.226544,1957.543016,2458.212975,3089.899154,3329.329459,4009.911153,4867.280889,5390.852181,5908.75921,6307.217091,6516.774456,
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,891.8746011,923.1202211,991.4670348,1067.575051,1095.256347,1100.908597,1178.199742,1234.756824,1192.60243,1241.85773,1322.485645,1284.653885,1226.397277,1348.117188,1540.478868,1766.520421,1989.856187,2312.95186,2568.594277,2432.769128,2908.316064,3224.146373,3296.708002,3315.74005,3332.195286,3185.439544,
East Asia and Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2586.382663,2871.439993,3093.36763,3429.954101,3810.852031,4278.407337,4075.206115,3855.002671,3418.605139,3778.238874,4049.119532,3732.422579,3759.196107,4101.205592,4564.388534,4831.495249,5085.043761,5646.059261,6477.146359,6629.884446,7680.317201,8847.161699,9403.472949,9448.095589,9663.890618,9537.770428,
Europe and Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,2407.848657,2323.679109,2129.417215,2085.581347,1807.585378,1927.734122,1950.409193,2030.416224,1885.285138,1581.970479,1762.155314,1757.182449,2008.865481,2534.253678,3345.477569,4230.585554,5189.518954,6694.076503,8267.979349,6453.649554,7651.392325,9341.101173,9722.575742,10123.69046,9496.597033,7118.709065,
Europe and Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,10478.69363,10774.48551,11508.8037,10538.50825,10997.24266,12643.47347,12889.53462,12209.90948,12488.83069,12332.34365,11603.10361,11705.31021,12778.40227,15524.98057,18042.5802,19151.52243,20663.03352,24055.79718,26287.73918,23022.10519,23465.97434,25901.23872,24791.65512,25709.80072,25950.66156,22157.91963,
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,1491.402557,1623.989557,1690.154667,1729.373709,2028.198277,2135.634119,2159.150629,2361.59952,2300.407505,1584.463443,1451.290776,1903.741868,2183.967465,2440.469164,2708.558293,3021.942767,3350.784142,3590.711513,4274.940821,4255.555563,4657.301737,5223.377575,5702.168288,6074.181971,6432.295813,6205.064145,
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,764.7606811,640.8505135,710.3624068,774.9108673,846.9980739,963.5573128,1063.433416,1211.290308,1286.793514,1351.61401,1461.018259,1402.759854,1238.926558,1147.781713,1071.323339,1196.733309,1409.177875,1681.314481,2061.612772,2349.286865,2668.035988,2816.666943,3226.131379,3264.450063,3365.707421,3614.746766,
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,18847.21894,19521.36475,21437.52098,19555.02624,20594.6214,23708.97175,23935.92107,21832.78638,22386.62362,22230.18887,20189.36513,20440.34195,22131.04041,27157.11972,30979.08654,31983.68897,33795.83351,38710.49453,42225.30975,38480.22034,37613.19687,40611.31969,37593.11651,39100.20085,39730.06867,34168.88609,
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,150.9520615,148.4927896,168.9040979,182.6796051,216.5541708,210.5402575,223.3968966,200.8718442,199.8131951,205.8460357,192.5076432,221.5268127,272.8328326,262.0745298,281.3750173,299.1114518,306.6651439,404.196309,451.4266933,544.4624311,,,,,
